Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Book/sh,P/B,EPS next Y,ROA,Target Price,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range,Perf YTD,Dividend,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend %,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR,Employees,Current Ratio,Sales Q/Q,Oper. Margin,RSI (14),Volatility,Optionable,Debt/Eq,EPS Q/Q,Profit Margin,Rel Volume,Prev Close,Shortable,LT Debt/Eq,Earnings,Payout,Avg Volume,Price,Recom,SMA20,SMA50,SMA200,Volume,Change,ticker,name,sector,industry
-,19.49,2.05,0.30%,375.66M,0.96%,14.93B,9.86,4.05,-3.43%,371.36M,19.01%,779.00M,2.66,1.06,97.30%,2.31%,40.49%,9.12B,1.64,50.00%,-0.32%,1.79,85.85%,37.60,1.06,64.86%,0.40%,43.65,23.61%,58.59,0.68,7.33%,5.60%,10.22 - 41.99,12.00%,0.76,-,26.10%,8.60%,-4.88%,1.55,1.90%,-,3.30%,-,290.80%,1.22,8700,-,-13.90%,57.20%,70.16,2.94% 2.96%,Yes,2.00,30.10%,8.50%,1.34,41.35,Yes,1.34,Jan 22 BMO,36.00%,4.79M,39.94,1.60,7.71%,18.87%,64.25%,"6,438,182",-3.41%,ALLY,Ally Financial Inc.,Financial,Credit Services
-,-,-7.83,0.20%,115.99M,-2.45%,19.22B,-,-5.75,-44.90%,115.24M,17.11%,-890.90M,-,-1.73,94.70%,3.03%,17.89%,401.00M,47.94,-7.00%,0.09%,5.50,5.55%,10.48,15.91,19.60%,-31.40%,166.00,44.21%,15.91,10.48,46.09%,-66.00%,84.97 - 175.41,28.30%,-,-,-10.80%,-65.40%,-4.94%,1.35,-,5.20,34.20%,83.20%,96.25%,6.42,1323,5.30,79.60%,-,68.90,3.33% 4.28%,Yes,0.00,-13.80%,-,0.86,170.97,Yes,0.00,Nov 05 BMO,-,634.29K,166.75,2.00,14.52%,22.51%,20.61%,"543,691",-2.47%,ALNY,"Alnylam Pharmaceuticals, Inc.",Healthcare,Biotechnology
S&P 500,36.97,4.27,0.30%,219.10M,0.91%,34.52B,12.18,12.96,-3.76%,218.11M,0.71%,956.60M,3.36,2.56,93.30%,1.69%,27.31%,5.86B,5.89,15.10%,-0.23%,1.44,49.09%,50.55,3.12,6.93%,5.50%,173.65,41.71%,10.50,15.03,11.00%,8.60%,72.67 - 160.03,1.04%,-,13.17,26.80%,16.90%,-1.36%,1.25,-,3.30,17.40%,91.20%,117.23%,2.90,3082,3.80,25.80%,9.40%,68.73,0.90% 1.04%,Yes,0.23,25.80%,16.30%,1.42,157.74,Yes,0.22,Oct 29 BMO,0.00%,2.55M,157.86,2.70,1.19%,13.01%,34.75%,"3,579,909",0.08%,ALXN,"Alexion Pharmaceuticals, Inc.",Healthcare,Biotechnology
S&P 500,27.53,3.92,0.50%,916.00M,10.12%,101.15B,19.86,5.44,-0.02%,908.80M,25.42%,3.62B,1.72,1.26,83.20%,1.17%,73.42%,17.20B,5.88,38.20%,0.22%,1.45,68.13%,11.55,9.35,8.18%,17.00%,96.96,68.99%,6.12,17.63,16.05%,38.30%,36.64 - 110.88,25.11%,0.88,38.98,28.40%,23.80%,-2.62%,1.48,0.82%,2.10,12.20%,44.70%,194.68%,3.57,24000,3.00,24.90%,25.40%,75.38,4.25% 3.21%,Yes,0.52,63.80%,21.00%,0.97,107.84,Yes,0.52,Nov 12 AMC,21.80%,7.31M,107.97,2.00,15.89%,25.46%,64.42%,"7,273,779",0.12%,AMAT,"Applied Materials, Inc.",Technology,Semiconductor Equipment & Materials
S&P 500,23.99,0.47,0.10%,1.56B,-1.57%,18.19B,15.02,0.75,-9.02%,1.56B,-3.52%,744.20M,4.25,0.17,37.50%,1.70%,0.54%,12.42B,1.46,6.70%,0.45%,4.91,3.21%,3.00,3.75,5.94%,4.50%,12.02,4.85%,0.47,24.03,5.65%,15.40%,5.80 - 12.40,-4.42%,0.47,44.69,-7.00%,7.40%,-9.27%,-,4.18%,0.80,5.30%,21.30%,93.97%,0.26,47000,1.30,-1.40%,9.10%,45.03,2.34% 2.09%,Yes,1.41,179.10%,6.00%,1.02,11.23,Yes,1.36,Nov 05 BMO,97.90%,5.38M,11.25,2.90,-2.13%,-2.85%,5.75%,"5,448,324",0.18%,AMCR,Amcor plc,Consumer Cyclical,Packaging & Containers
S&P 500,127.66,0.72,0.60%,1.20B,-0.27%,113.30B,50.65,1.81,-14.66%,1.19B,-4.58%,866.00M,3.34,0.47,74.00%,5.08%,12.22%,8.65B,13.10,-11.00%,0.12%,1.31,48.13%,3.27,27.99,46.43%,13.80%,92.53,77.97%,1.43,63.98,38.22%,27.00%,36.75 - 99.23,-0.20%,-,162.56,20.70%,12.40%,-7.76%,2.19,-,1.70,4.10%,44.50%,149.06%,3.19,11400,2.30,55.50%,11.30%,49.97,3.12% 3.35%,Yes,0.00,198.80%,10.20%,1.14,88.75,Yes,0.10,Jan 26 AMC,0.00%,46.50M,91.53,2.40,-0.66%,1.58%,25.46%,"54,596,080",3.13%,AMD,"Advanced Micro Devices, Inc.",Technology,Semiconductors
S&P 500,31.60,3.78,0.40%,229.58M,-1.61%,27.89B,28.07,4.26,-26.81%,229.06M,1.17%,872.20M,-,1.03,88.40%,0.64%,9.92%,4.65B,6.00,14.00%,-0.16%,1.61,27.62%,24.85,4.81,9.15%,8.50%,127.93,19.16%,5.59,21.37,-1.20%,16.10%,54.82 - 125.81,-1.21%,0.72,27.79,9.70%,12.30%,-5.03%,1.33,0.60%,1.50,5.10%,34.50%,117.95%,2.51,18100,1.90,-11.70%,25.10%,49.08,1.94% 2.07%,Yes,0.49,-8.10%,18.80%,0.82,120.11,Yes,0.40,Feb 04 BMO,17.90%,911.38K,119.48,2.10,-0.88%,0.68%,19.92%,"758,141",-0.52%,AME,"AMETEK, Inc.",Industrials,Specialty Industrial Machinery
DJIA S&P500,20.32,12.40,0.19%,585.00M,6.01%,144.44B,14.83,17.00,-0.32%,581.07M,10.30%,7.35B,3.03,3.41,78.10%,1.20%,9.06%,24.99B,5.78,2.00%,0.06%,2.78,-1.93%,18.73,13.46,5.15%,11.70%,255.28,6.45%,21.57,11.69,6.70%,72.10%,177.05 - 264.97,9.62%,7.04,22.04,14.00%,21.20%,-4.88%,0.75,2.79%,1.90,3.10%,76.70%,42.35%,4.85,23400,2.30,12.00%,36.70%,75.98,2.29% 2.10%,Yes,3.13,5.00%,29.40%,0.89,252.36,Yes,3.12,Feb 02 AMC,50.10%,2.50M,252.03,2.30,8.13%,9.23%,6.72%,"2,216,075",-0.13%,AMGN,Amgen Inc.,Healthcare,Drug Manufacturers - General
S&P 500,15.19,13.95,0.30%,123.00M,4.37%,24.84B,10.99,19.29,-37.75%,117.74M,13.37%,1.82B,1.50,4.51,87.20%,1.67%,26.16%,11.87B,2.09,-1.90%,-0.02%,2.97,34.17%,49.33,4.30,34.92%,1.20%,219.60,23.84%,65.42,3.24,10.11%,29.10%,80.01 - 214.49,9.06%,4.16,5.01,10.90%,8.40%,-1.19%,1.70,1.96%,-,0.90%,54.20%,164.89%,4.29,12500,-,-10.10%,19.80%,72.10,1.93% 2.17%,Yes,3.59,-128.20%,15.30%,1.00,213.16,Yes,0.78,Jan 27 AMC,28.20%,664.43K,211.94,1.80,7.59%,10.77%,34.42%,"663,027",-0.57%,AMP,"Ameriprise Financial, Inc.",Financial,Asset Management
S&P 500,52.48,4.23,0.10%,443.77M,2.65%,96.50B,40.58,5.48,-7.39%,442.83M,0.31%,1.89B,3.37,1.26,93.10%,1.06%,-8.86%,7.84B,12.30,53.00%,-0.01%,2.13,-14.22%,8.41,26.42,23.08%,4.50%,278.65,-5.51%,-,-,15.58%,47.10%,174.32 - 272.20,-1.01%,4.84,100.03,16.20%,9.20%,-18.37%,0.24,2.18%,0.90,13.10%,71.90%,27.47%,4.88,5454,0.90,3.00%,35.70%,52.06,2.50% 2.17%,Yes,6.64,-6.90%,24.10%,0.79,222.78,Yes,6.43,Oct 29 BMO,97.20%,2.21M,222.20,2.10,1.50%,-1.48%,-8.66%,"1,736,783",-0.26%,AMT,American Tower Corporation (REIT),Real Estate,REIT - Specialty
-,30.11,0.47,-,3.32B,-1.94%,48.49B,11.17,1.27,-,1.73B,-0.07%,1.56B,2.09,0.27,11.00%,0.33%,7.75%,52.02B,0.93,28.90%,-0.04%,2.10,3.73%,2.63,5.39,167.72%,1.90%,17.44,-14.42%,1.62,8.73,14.42%,17.80%,10.12 - 18.03,-2.48%,0.37,6.11,9.00%,11.20%,-21.38%,0.75,2.61%,0.70,3.50%,38.20%,40.12%,0.34,187383,0.70,4.70%,16.50%,43.31,2.23% 2.22%,Yes,4.70,43.70%,3.00%,1.02,14.22,Yes,3.83,-,807.10%,2.69M,14.18,2.10,-2.37%,-1.20%,8.66%,"2,776,715",-0.28%,AMX,"America Movil, S.A.B. de C.V.",Communication Services,Telecom Services
S&P 500,96.85,34.15,10.60%,501.00M,4.46%,1671.68B,72.83,45.41,-3.65%,428.51M,3.29%,17.38B,2.95,7.16,58.70%,0.77%,2.80%,347.95B,4.80,15.90%,-0.05%,0.80,6.68%,165.22,20.02,30.05%,7.00%,3822.57,75.21%,135.32,24.44,32.80%,24.50%,1626.03 - 3552.25,1.54%,-,67.78,115.10%,11.70%,-6.90%,1.15,-,0.90,25.80%,40.20%,103.38%,70.77,1125300,1.10,37.40%,5.70%,60.87,2.01% 1.96%,Yes,0.61,192.00%,5.00%,1.18,3263.38,Yes,0.61,Oct 29 AMC,0.00%,4.14M,3306.99,1.70,3.63%,4.34%,12.02%,"4,945,051",1.34%,AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail
S&P 500,34.90,8.93,0.10%,76.00M,0.66%,23.28B,31.54,9.88,-93.30%,54.25M,8.32%,712.20M,5.29,2.38,65.20%,4.58%,40.40%,2.22B,10.48,157.20%,-0.21%,3.61,33.28%,40.58,7.68,10.64%,16.70%,296.27,39.93%,38.09,8.18,6.60%,24.00%,156.63 - 320.34,7.26%,-,26.91,52.50%,27.80%,-2.71%,1.10,-,4.80,32.80%,64.10%,98.98%,7.82,2300,5.50,-7.50%,30.70%,63.94,2.66% 2.32%,Yes,0.00,-17.90%,32.10%,0.58,314.45,Yes,0.00,Nov 02 AMC,0.00%,688.30K,311.66,2.20,4.58%,10.09%,32.64%,"424,095",-0.89%,ANET,"Arista Networks, Inc.",Technology,Computer Hardware
S&P 500,84.28,4.41,0.50%,85.80M,-0.99%,32.36B,52.73,7.05,-10.13%,85.06M,3.93%,384.10M,13.19,2.54,94.90%,1.70%,12.02%,1.54B,20.96,6.90%,0.08%,3.59,21.17%,41.84,8.89,12.67%,8.10%,350.73,35.35%,9.71,38.28,6.39%,11.20%,200.07 - 380.76,2.22%,-,68.90,14.10%,11.20%,-2.34%,1.23,-,2.60,10.10%,86.60%,85.86%,8.88,4100,2.60,6.70%,27.40%,58.31,2.30% 2.38%,Yes,0.12,-16.90%,24.90%,0.91,378.65,Yes,0.12,Nov 04 AMC,0.00%,401.73K,371.86,2.50,1.79%,7.61%,19.94%,"364,887",-1.79%,ANSS,"ANSYS, Inc.",Technology,Software - Application
S&P 500,16.63,19.35,0.10%,251.00M,-2.64%,79.05B,12.69,25.35,-12.06%,247.38M,4.23%,4.96B,1.22,2.52,94.00%,1.22%,10.48%,117.53B,0.67,31.10%,1.58%,2.27,20.00%,135.14,2.38,12.93%,5.90%,363.52,5.99%,16.21,19.84,13.62%,15.00%,171.03 - 340.98,0.19%,3.80,12.78,15.60%,10.70%,-5.65%,1.00,1.18%,-,7.10%,-,88.10%,7.59,70600,-,16.80%,6.40%,50.25,2.44% 2.38%,Yes,0.61,-80.80%,4.20%,0.74,321.52,Yes,0.56,Jan 27 BMO,18.60%,1.33M,321.70,2.00,0.16%,0.81%,12.93%,"993,677",0.06%,ANTM,"Anthem, Inc.",Healthcare,Healthcare Plans
S&P 500,27.03,7.75,0.10%,232.60M,1.24%,47.42B,19.51,10.74,2.72%,225.53M,1.94%,1.82B,3.67,2.46,-,9.52%,1.51%,10.99B,4.32,37.10%,3.06%,13.16,0.77%,15.23,13.75,11.25%,5.90%,225.54,-1.15%,31.45,6.66,7.37%,53.20%,143.93 - 238.19,-0.85%,1.84,22.49,6.40%,17.40%,-12.06%,0.82,0.88%,1.10,-1.80%,-,45.54%,4.47,50000,1.10,0.30%,23.80%,54.45,1.84% 2.23%,Yes,2.20,25.80%,16.60%,1.03,211.94,Yes,2.07,Feb 05 BMO,22.60%,1.63M,209.47,2.50,1.12%,1.72%,5.80%,"1,677,674",-1.17%,AON,Aon Plc,Financial,Insurance Brokers
S&P 500,33.05,8.55,0.30%,221.50M,-2.77%,62.33B,26.67,10.60,0.00%,220.22M,4.85%,1.90B,3.25,2.19,88.30%,0.53%,-4.03%,8.86B,7.04,8.40%,3.02%,0.89,-4.37%,54.54,5.18,13.60%,8.50%,307.95,18.72%,28.83,9.80,10.16%,16.20%,167.43 - 327.89,3.44%,5.36,-,14.80%,8.80%,-13.81%,0.78,1.90%,3.40,2.50%,33.90%,68.79%,5.94,19000,3.60,1.60%,25.30%,53.36,1.91% 2.22%,Yes,0.65,-3.30%,21.30%,0.71,286.56,Yes,0.62,Feb 04 BMO,58.60%,1.30M,282.61,2.40,1.68%,2.25%,5.33%,"918,737",-1.38%,APD,"Air Products and Chemicals, Inc.",Basic Materials,Chemicals
S&P 500,35.06,3.80,0.10%,298.80M,-1.01%,40.45B,31.44,4.23,-77.58%,294.74M,1.88%,1.17B,4.50,1.02,95.60%,0.63%,16.14%,8.32B,4.86,-9.20%,0.06%,1.47,28.89%,16.87,7.89,16.86%,10.20%,138.56,24.82%,4.79,27.78,7.80%,24.90%,63.05 - 137.18,1.78%,1.16,40.40,11.10%,15.60%,-2.97%,1.26,0.87%,1.60,9.00%,31.00%,111.10%,2.36,74000,2.30,10.60%,19.00%,54.34,1.63% 1.71%,Yes,0.76,22.90%,14.00%,0.81,133.95,Yes,0.71,Jan 27 BMO,25.50%,1.26M,133.10,2.20,0.97%,2.39%,23.06%,"1,040,075",-0.63%,APH,Amphenol Corporation,Technology,Electronic Components
-,-,-0.66,2.20%,227.77M,1.42%,21.20B,18.55,2.58,-0.51%,173.17M,0.06%,-148.10M,-,0.50,73.80%,2.82%,18.90%,1.97B,10.75,-33.60%,0.08%,3.92,-10.11%,2.35,20.34,42.61%,-1.00%,52.21,-8.08%,5.96,8.02,4.98%,-26.80%,19.46 - 55.38,-2.39%,2.04,18.46,44.20%,28.50%,-13.68%,1.60,4.27%,-,13.40%,-,145.68%,1.25,1421,-,44.90%,-,52.30,1.83% 2.71%,Yes,21.04,-32.20%,-7.50%,0.33,48.05,Yes,21.04,Feb 03 BMO,-,1.24M,47.81,2.40,-0.10%,2.59%,4.17%,"458,634",-0.50%,APO,"Apollo Global Management, Inc.",Financial,Asset Management
-,-,-0.57,0.30%,69.92M,15.58%,13.25B,-,-0.41,-91.58%,37.43M,18.29%,-38.50M,-,-0.17,84.80%,21.34%,125.16%,287.40M,46.11,4.00%,-1.53%,5.40,264.73%,4.26,43.29,0.00%,-9.10%,83.25,269.93%,3.49,52.77,-,-15.40%,29.07 - 216.41,13.77%,-,-,-20.50%,-24.50%,-14.79%,1.99,-,2.90,23.90%,68.80%,534.37%,11.49,2000,2.90,16.80%,-14.50%,66.62,6.96% 7.41%,Yes,0.01,76.90%,-13.40%,0.68,182.35,Yes,0.00,Nov 05 AMC,-,1.48M,184.41,3.00,16.75%,28.95%,138.02%,"1,002,962",1.13%,APPN,Appian Corporation,Technology,Software - Infrastructure
S&P 500,21.62,6.65,0.10%,270.03M,-1.51%,39.24B,35.94,4.00,-5.32%,268.77M,15.73%,1.72B,22.52,0.98,99.99%,1.42%,43.58%,12.45B,3.15,-7.00%,0.32%,2.25,73.90%,27.27,5.28,128.87%,11.20%,127.21,57.82%,7.78,18.49,0.96%,29.70%,29.22 - 152.78,10.41%,-,70.84,-2.40%,13.80%,-5.85%,2.19,-,1.50,-1.50%,14.80%,392.30%,4.54,141000,1.80,3.10%,16.00%,65.59,3.26% 3.19%,Yes,0.55,8.90%,13.80%,1.10,145.12,Yes,0.53,Feb 03 BMO,6.60%,1.69M,143.85,2.10,5.36%,14.68%,56.44%,"1,855,358",-0.88%,APTV,Aptiv PLC,Consumer Cyclical,Auto Parts
-,21.37,0.81,0.16%,597.03M,2.18%,10.33B,-,-,0.00%,596.69M,8.32%,-,-,-,54.40%,1.23%,11.68%,1.62B,6.37,-,-,11.42,28.41%,7.65,2.26,-,-,-,15.48%,-,-,-,-,9.53 - 17.24,5.16%,0.62,-,-,-,0.41%,-,3.58%,-,-,-,81.64%,0.33,2469,-,2.90%,-,67.61,1.80% 1.91%,Yes,-,-51.80%,-,1.00,17.16,Yes,-,Nov 12 AMC,-,640.25K,17.31,-,4.45%,7.12%,18.86%,"644,242",0.87%,AQN,Algonquin Power & Utilities Corp.,Utilities,Utilities - Renewable
S&P 500,39.51,4.34,1.20%,144.52M,1.62%,23.83B,63.88,2.69,-9.83%,133.29M,-2.07%,524.80M,395.12,0.65,93.30%,1.36%,7.26%,1.83B,13.02,-11.50%,0.01%,1.99,1.63%,85.68,2.00,-17.02%,2.60%,188.96,5.12%,3.21,53.40,0.10%,5.50%,109.22 - 179.79,-3.69%,4.36,-,25.70%,2.40%,-4.53%,0.76,2.54%,-,16.10%,71.80%,57.15%,3.69,439,-,39.60%,23.80%,54.31,2.09% 2.02%,Yes,0.73,242.00%,28.70%,0.73,171.03,Yes,0.73,Feb 01 AMC,95.80%,915.31K,171.64,1.70,0.66%,1.97%,5.60%,"669,656",0.36%,ARE,"Alexandria Real Estate Equities, Inc.",Real Estate,REIT - Office
-,93.77,0.49,1.90%,143.47M,-1.08%,11.99B,20.98,2.18,-35.31%,91.89M,-7.37%,79.90M,5.39,0.46,70.10%,1.18%,3.02%,1.55B,7.76,237.40%,0.28%,1.94,12.21%,5.88,7.78,22.94%,0.60%,52.90,21.80%,4.71,9.72,17.40%,12.50%,20.20 - 49.86,-2.74%,1.60,-,18.00%,2.80%,-8.22%,1.17,3.50%,-,23.90%,99.80%,126.53%,0.95,1200,-,5.00%,14.40%,41.79,2.28% 2.09%,Yes,12.35,16.80%,5.20%,0.83,46.42,Yes,12.35,Oct 28 BMO,249.20%,557.25K,45.76,1.90,-3.14%,-1.88%,12.37%,"459,978",-1.42%,ARES,Ares Management Corporation,Financial,Asset Management
-,-,-1.73,-,47.11M,15.05%,14.85B,-,-14.09,-,47.03M,2.25%,-,-,-3.04,54.78%,2.34%,20.09%,-,-,-171.80%,-,7.13,21.59%,11.95,26.38,-10.80%,-,304.30,105.39%,-,-,-,-,103.75 - 312.06,7.21%,-,-,-,-,1.04%,-,-,-,-,-,203.89%,10.89,186,-,16.10%,-,64.70,4.19% 3.27%,Yes,-,-,-,2.39,305.36,Yes,-,Oct 22 BMO,-,154.63K,315.29,2.10,8.07%,11.40%,33.61%,"358,987",3.25%,ARGX,argenx SE,Healthcare,Biotechnology
-,59.06,9.66,0.40%,418.40M,11.03%,246.85B,49.36,11.56,0.00%,415.27M,19.59%,4.06B,2.87,3.05,18.30%,0.27%,48.26%,16.73B,14.76,1.20%,0.01%,1.46,45.37%,39.93,14.29,23.92%,14.00%,437.45,92.65%,12.39,46.07,20.60%,25.90%,191.25 - 558.16,17.02%,2.85,95.35,17.70%,16.60%,2.25%,1.09,0.50%,2.00,15.10%,47.40%,198.42%,14.00,24749,2.90,32.50%,27.80%,77.85,2.65% 2.04%,Yes,0.34,70.40%,24.30%,1.68,549.38,Yes,0.34,Jan 20 BMO,13.40%,769.84K,570.74,2.00,13.46%,22.66%,49.99%,"1,273,229",3.89%,ASML,ASML Holding N.V.,Technology,Semiconductor Equipment & Materials
-,19.15,0.40,-,2.13B,7.43%,16.54B,21.40,0.36,-,1.58B,35.34%,855.20M,0.56,0.08,4.40%,0.06%,78.97%,15.87B,1.04,-33.50%,0.04%,0.75,59.25%,3.44,2.23,11.88%,4.20%,6.43,47.59%,1.02,7.53,34.20%,11.80%,3.17 - 7.75,31.16%,0.14,5.92,-,4.20%,-1.16%,-,1.83%,1.00,-,16.80%,141.64%,0.27,97259,1.30,4.80%,7.00%,73.93,4.01% 2.71%,No,1.04,16.50%,5.40%,1.18,7.50,Yes,0.82,-,996.80%,1.35M,7.66,1.50,19.78%,32.95%,62.10%,"1,584,985",2.13%,ASX,"ASE Technology Holding Co., Ltd.",Technology,Semiconductors
-,25.04,4.33,-,119.46M,5.51%,12.27B,21.01,5.16,-,119.08M,9.47%,520.00M,13.47,1.50,58.10%,3.52%,8.94%,1.31B,9.34,11.20%,0.30%,8.87,35.17%,21.31,5.09,12.34%,17.10%,102.97,29.57%,18.39,5.90,1.86%,22.00%,59.54 - 109.65,8.83%,0.77,-,32.20%,15.40%,-1.12%,0.66,0.71%,5.40,31.60%,88.70%,82.10%,3.82,3882,5.40,6.70%,32.90%,61.40,4.21% 3.72%,Yes,0.00,30.20%,39.60%,0.67,108.00,Yes,0.00,Nov 30 BMO,0.00%,472.53K,108.42,2.20,7.75%,8.57%,21.50%,"373,819",0.39%,ATHM,Autohome Inc.,Communication Services,Internet Content & Information
S&P 500,18.30,4.89,0.60%,126.04M,1.12%,10.97B,16.59,5.39,0.34%,124.83M,-5.95%,601.00M,2.70,1.57,89.20%,4.17%,-5.12%,2.82B,3.89,12.40%,-0.58%,5.34,-14.02%,54.73,1.63,6.92%,4.10%,106.20,-22.95%,0.17,527.63,6.77%,9.40%,77.92 - 121.08,-6.27%,2.50,-,10.30%,6.00%,-26.12%,0.36,2.79%,0.50,-0.70%,76.60%,14.80%,2.04,4694,0.60,7.00%,29.20%,40.65,2.05% 2.25%,Yes,0.67,8.00%,21.30%,0.72,90.09,Yes,0.67,Feb 02 AMC,47.00%,975.12K,89.45,2.20,-2.01%,-6.23%,-9.23%,"709,767",-0.71%,ATO,Atmos Energy Corporation,Utilities,Utilities - Regulated Gas
-,200.50,0.18,0.50%,571.03M,2.47%,19.61B,22.26,1.62,-66.74%,75.60M,2.30%,106.00M,-,0.37,95.10%,68.27%,28.89%,9.83B,1.99,712.80%,-0.45%,7.43,48.21%,1.31,27.55,199.08%,0.30%,40.15,23.55%,0.22,164.67,-,7.10%,15.95 - 38.30,-4.70%,-,7.58,-,5.70%,-5.77%,1.12,-,0.80,-,65.90%,126.20%,0.86,10700,0.80,-0.20%,16.30%,54.01,3.05% 2.46%,Yes,34.24,-106.90%,1.10%,0.31,36.15,Yes,33.94,Oct 29 AMC,0.00%,6.94M,36.09,2.00,-0.62%,4.68%,29.41%,"2,207,702",-0.17%,ATUS,"Altice USA, Inc.",Communication Services,Telecom Services
S&P 500,33.15,2.85,0.70%,772.00M,5.38%,72.55B,26.76,3.54,-7.69%,762.85M,4.68%,2.21B,1.36,1.17,90.10%,1.39%,18.04%,7.66B,9.47,-0.30%,0.08%,1.60,16.65%,18.63,5.08,2.94%,10.90%,97.75,56.83%,9.91,9.54,24.38%,16.40%,50.51 - 95.87,1.88%,0.41,37.45,11.60%,9.50%,-1.32%,0.67,0.43%,-,8.00%,72.60%,87.29%,2.06,9200,4.10,52.40%,33.40%,66.97,2.21% 2.15%,Yes,0.25,193.00%,28.90%,0.68,95.12,Yes,0.25,Feb 04 AMC,12.90%,6.62M,94.60,2.00,4.24%,12.16%,20.54%,"4,488,880",-0.55%,ATVI,"Activision Blizzard, Inc.",Communication Services,Electronic Gaming & Multimedia
-,15.55,1.51,3.10%,418.50M,0.82%,10.08B,7.66,3.06,0.00%,412.72M,1.21%,632.00M,0.54,1.65,32.50%,0.44%,-11.01%,3.66B,2.75,68.10%,0.22%,0.65,-28.55%,7.20,3.26,28.91%,4.00%,31.50,13.83%,3.01,7.80,28.85%,10.70%,12.66 - 38.50,3.67%,0.09,19.46,46.70%,7.70%,-39.09%,0.55,0.38%,2.00,-6.60%,33.50%,85.23%,0.91,34263,2.60,-20.70%,26.40%,52.21,3.48% 3.47%,Yes,0.96,35.80%,8.10%,1.46,23.44,Yes,0.90,-,13.30%,2.80M,23.45,2.30,0.71%,2.31%,-10.44%,"4,094,427",0.04%,AU,AngloGold Ashanti Limited,Basic Materials,Gold
S&P 500,35.63,4.64,0.27%,140.27M,3.94%,22.61B,44.93,3.68,0.00%,139.23M,4.43%,652.60M,14.03,0.86,94.00%,1.86%,13.68%,2.34B,9.66,-20.10%,-0.04%,2.46,10.01%,76.06,2.18,-13.48%,3.40%,168.53,-23.62%,0.64,258.34,2.54%,6.00%,118.17 - 229.40,3.14%,6.36,61.09,2.70%,3.40%,-27.87%,0.98,3.84%,-,6.60%,65.80%,40.02%,3.75,3122,-,-3.40%,23.30%,58.54,2.74% 2.22%,Yes,0.71,-47.50%,27.90%,0.49,165.92,Yes,0.71,Feb 03 AMC,133.60%,1.05M,165.46,2.70,4.09%,0.92%,5.24%,"521,254",-0.28%,AVB,"AvalonBay Communities, Inc.",Real Estate,REIT - Residential
S&P 500,73.91,6.32,0.20%,405.00M,3.46%,192.51B,16.70,27.95,-55.95%,396.59M,7.42%,2.66B,9.36,6.55,83.20%,0.95%,23.83%,23.89B,8.06,-2.10%,0.05%,2.28,48.76%,58.95,7.92,6.64%,3.40%,468.29,49.20%,18.47,25.27,7.90%,11.10%,155.67 - 465.79,6.62%,14.40,31.75,5.00%,7.20%,0.22%,1.05,3.08%,1.70,28.50%,56.70%,199.88%,9.99,21000,1.90,12.00%,16.80%,72.37,2.11% 2.14%,Yes,1.72,49.90%,11.10%,0.96,461.88,Yes,1.69,Dec 10 AMC,196.70%,1.65M,466.82,1.90,6.27%,12.69%,35.99%,"1,575,420",1.07%,AVGO,Broadcom Inc.,Technology,Semiconductors
-,-,-0.68,1.50%,82.29M,3.82%,14.02B,-,-0.15,-32.43%,81.29M,-8.54%,-53.60M,-,-0.06,90.60%,2.22%,5.64%,463.40M,30.26,39.50%,0.15%,3.05,29.99%,12.96,12.69,-275.00%,-5.50%,191.69,95.18%,12.48,13.18,-,-8.60%,55.50 - 184.41,-0.27%,-,697.60,-,-12.30%,-10.83%,-,-,4.00,-,70.80%,196.29%,6.44,2601,4.00,29.80%,-13.10%,50.67,3.60% 3.96%,Yes,0.00,4.60%,-11.60%,0.78,163.66,Yes,0.00,Nov 05 AMC,-,590.84K,164.44,1.60,-0.79%,-0.57%,25.14%,"462,612",0.48%,AVLR,"Avalara, Inc.",Technology,Software - Application
-,247.56,0.12,0.80%,577.20M,4.28%,17.46B,27.33,1.11,-95.33%,495.90M,10.49%,71.10M,9.95,0.25,83.70%,3.27%,22.00%,6.13B,2.85,-36.50%,-2.85%,3.03,61.88%,2.68,11.36,29.84%,0.70%,30.30,60.77%,0.65,47.14,24.88%,4.80%,6.66 - 30.73,8.17%,-,26.57,-,7.20%,-0.91%,-,-,1.40,59.40%,32.30%,357.55%,0.88,12000,2.00,6.70%,6.90%,65.92,2.69% 2.99%,Yes,3.27,-,1.20%,0.56,30.47,Yes,3.27,Feb 03 AMC,0.00%,5.36M,30.45,1.80,7.50%,11.01%,41.03%,"3,039,034",-0.07%,AVTR,"Avantor, Inc.",Basic Materials,Specialty Chemicals
